,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
bert-large_32x32_8_naive_no_hooks,13686482432,1334329356,340867240,8388608,1332224012,10657804684,0
bert-large_32x32_16_naive_no_hooks,24344149504,1334329356,681726280,16777216,1332224012,21315609356,0
bert-large_32x32_4_reweight_no_hooks,2907383296,1334329356,170437720,4194304,1332224012,475076720,0
bert-large_32x32_8_reweight_no_hooks,2906616320,1334329356,340867240,8388608,1332224012,950153440,0
bert-large_32x32_16_reweight_no_hooks,3360416768,1334329356,681726280,16777216,1332224012,1900306880,0
bert-large_32x32_32_reweight_no_hooks,5264643072,1334329356,1363444360,33554432,1332224012,3800613760,0
bert-large_32x32_64_reweight_no_hooks,9073096192,1334329356,2726880520,67108864,1332224012,7601227520,0
bert-large_32x32_128_reweight_no_hooks,16690771968,1334329356,5453752840,134217728,1332224012,15202455040,0
bert-large_32x32_4_elegant_no_hooks,4341785600,1334329356,170437720,115359792,1332224012,1331888224,0
bert-large_32x32_8_elegant_no_hooks,4567617536,1334329356,340867240,230719584,1332224012,1337049280,0
bert-large_32x32_16_elegant_no_hooks,5018804224,1334329356,681726280,461439168,1332224012,1347371392,0
bert-large_32x32_32_elegant_no_hooks,5923270144,1334329356,1363444360,922878336,1332224012,1368015616,0
bert-large_32x32_64_elegant_no_hooks,7728493056,1334329356,2726880520,1845756672,1332224012,1409304064,0
bert-large_32x32_128_elegant_no_hooks,11342326272,1334329356,5453752840,3691513344,1332224012,1491880960,0
gnmt_64x64_4_naive_no_hooks,7209324544,1106658304,236237096,65536000,1106658304,4426762176,0
gnmt_64x64_8_naive_no_hooks,11667918848,1106658304,472474184,131072000,1106658304,8853396352,0
gnmt_64x64_16_naive_no_hooks,20591235584,1106658304,944948360,262144000,1106658304,17706664704,0
gnmt_64x64_4_reweight_no_hooks,2659972096,1106658304,236237096,65536000,1106658304,1049088000,0
gnmt_64x64_8_reweight_no_hooks,2759930368,1106658304,472474184,131072000,1106658304,2098176000,0
gnmt_64x64_16_reweight_no_hooks,4413199360,1106658304,944948360,262144000,1106658304,4196352000,0
gnmt_64x64_32_reweight_no_hooks,7710382080,1106658304,1889896712,524288000,1106658304,8392704000,0
